target_type,jam_state,rows,unique_tracks,avg_range_km,avg_velocity_mps,avg_snr_db,avg_confidence
aircraft,barrage,28,10,240.6437142857143,211.97178571428572,7.435285714285714,0.7553571428571428
aircraft,deceptive,14,6,203.69785714285715,204.51428571428573,15.401857142857143,0.7776428571428572
aircraft,none,178,10,221.7079550561798,206.19377528089888,35.373061797752804,0.9348988764044944
aircraft,spot,14,8,250.2062857142857,212.00607142857143,18.038071428571428,0.8022857142857143
bird,barrage,11,7,30.739272727272727,10.491727272727273,7.855272727272728,0.7009090909090909
bird,deceptive,7,6,23.603285714285715,13.804,13.964428571428572,0.7051428571428572
bird,none,130,9,30.497607692307692,12.373938461538462,33.127561538461535,0.908076923076923
bird,spot,13,6,26.36092307692308,12.92176923076923,16.030384615384612,0.7599230769230769
drone,barrage,32,11,80.93671875,40.819375,10.65625,0.741
drone,deceptive,19,9,91.97836842105262,50.824,13.722000000000001,0.7805263157894737
drone,none,257,13,76.01879377431908,43.98099610894942,38.188618677042804,0.9371011673151751
drone,spot,27,11,76.36107407407407,45.154074074074074,19.35422222222222,0.8201111111111111
naval_vessel,barrage,25,9,162.51244,13.877160000000002,22.1864,0.6616799999999999
naval_vessel,deceptive,19,8,155.06478947368421,9.838684210526315,29.662368421052633,0.7036842105263158
naval_vessel,none,208,10,162.90053365384617,12.19496153846154,50.49299038461538,0.8715817307692307
naval_vessel,spot,18,9,148.40405555555557,12.35288888888889,36.60827777777777,0.7469444444444444
